video_path,source_dataset,source_video_id,original_split,label
..\data\raw\rwf2000\train\Train_Fight\-1l5631l3fg_0.avi,RWF-2000,-1l5631l3fg_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\-1l5631l3fg_1.avi,RWF-2000,-1l5631l3fg_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\-1l5631l3fg_2.avi,RWF-2000,-1l5631l3fg_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\0H2s9UJcNJ0_0.avi,RWF-2000,0H2s9UJcNJ0_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\0H2s9UJcNJ0_2.avi,RWF-2000,0H2s9UJcNJ0_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\0H2s9UJcNJ0_3.avi,RWF-2000,0H2s9UJcNJ0_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\0H2s9UJcNJ0_4.avi,RWF-2000,0H2s9UJcNJ0_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\0H2s9UJcNJ0_5.avi,RWF-2000,0H2s9UJcNJ0_5,train,violence
..\data\raw\rwf2000\train\Train_Fight\0lHQ2f0d_0.avi,RWF-2000,0lHQ2f0d_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\0lHQ2f0d_1.avi,RWF-2000,0lHQ2f0d_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\0lHQ2f0d_2.avi,RWF-2000,0lHQ2f0d_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\0lHQ2f0d_3.avi,RWF-2000,0lHQ2f0d_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\0NWz-01A2yk_0.avi,RWF-2000,0NWz-01A2yk_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\0NWz-01A2yk_1.avi,RWF-2000,0NWz-01A2yk_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\0TFi8D8IBg4_1.avi,RWF-2000,0TFi8D8IBg4_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\0vasozvJYvk_0.avi,RWF-2000,0vasozvJYvk_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\0_DzLlklZa0_3.avi,RWF-2000,0_DzLlklZa0_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\0_DzLlklZa0_4.avi,RWF-2000,0_DzLlklZa0_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\0_DzLlklZa0_5.avi,RWF-2000,0_DzLlklZa0_5,train,violence
..\data\raw\rwf2000\train\Train_Fight\0_DzLlklZa0_6.avi,RWF-2000,0_DzLlklZa0_6,train,violence
..\data\raw\rwf2000\train\Train_Fight\1060314╤äΓòò╨╜╤à╨│╨▓╤à╨┤╨╣╤å╨⌐╨»╤ë╨û╨╗╤ë╨⌐╨▓╤å╨É╨╡╤ê╨╕Γòæ╤à╨╛╨┤╤å╨¬Γöñ╤à╨Ü╨½╤äΓòæ╨¢╤äΓòùΓòó╤ÅΓò¥╨ÿ╤à╨¥╨«╤ë╨ù╨í╤àΓöéΓûæ╤ÅΓò¥╨Ö_17.avi,RWF-2000,1060314╤äΓòò╨╜╤à╨│╨▓╤à╨┤╨╣╤å╨⌐╨»╤ë╨û╨╗╤ë╨⌐╨▓╤å╨É╨╡╤ê╨╕Γòæ╤à╨╛╨┤╤å╨¬Γöñ╤à╨Ü╨½╤äΓòæ╨¢╤äΓòùΓòó╤ÅΓò¥╨ÿ╤à╨¥╨«╤ë╨ù╨í╤àΓöéΓûæ╤ÅΓò¥╨Ö_17,train,violence
..\data\raw\rwf2000\train\Train_Fight\1dsLuL5Lvbc_0.avi,RWF-2000,1dsLuL5Lvbc_0,train,violence
